Season,Transplant,Growth,Harvest,Products name,Crops Type,Max Temp,Min Temp,Max Relative Humidity,Min Relative Humidity,Country
Kharif 1,March,April to july,Aug,Aus Rice(Local: Broadcasted),Cereals,40,12,60,85,Bangladesh
Kharif 1,March,April to june,July,Aus Rice(HYV: Transplant),Cereals,40,12,60,85,Bangladesh
Kharif 1,March,April to May,June to July,Maize 2,Cereals,34,20,60,85,Bangladesh
Kharif 1,Feb,March to May,June,Mungbean 2,Pulses,30,20,20,85,Bangladesh
Kharif 1,July,Aug to Oct,Oct to Nov,Soybean 2,Oil Seeds,35,15,35,80,Bangladesh
Kharif 1,May,June to Sep,Oct,Groundnut 2,Oil Seeds,35,20,80,90,Bangladesh
Kharif 1,March,April to Aug,Sep,Ridge Gourd,Vegetables,35,25,85,90,Bangladesh
Kharif 1,March,April to Aug,Sep to Oct,Indian Spinach(Pui shakh),Vegetables,20,15,75,95,Bangladesh
Kharif 1,March,April to Aug,Sep to Oct,Kang Kong(Kolomi Shakh),Vegetables,35,20,80,100,Bangladesh
Kharif 1,July,Sep to March,March,Egg plant,Vegetables,45,23,50,85,Bangladesh
Kharif 1,June,Aug to Feb,March,Hyacinth Bean,Vegetables,25,17,76,94,Bangladesh
Kharif 1,Feb,March to June,June to July,Onion 2,Vegetables,30,20,65,75,Bangladesh
Kharif 1,March,April to Aug,Sep,Jute(Capsularis),Fibre,40,20,70,80,Bangladesh
Kharif 1,April,May to Aug,Sep,Jute(Olitorius),Fibre,40,20,70,80,Bangladesh
Kharif 1,April,June to Aug,Mid Aug to  Oct,Jowar,Staple,32,27,65,75,Bangladesh
Kharif 1,March,April to July,July to Oct,Sunn Hemp 1,Oil Seeds,27,18,40,70,Bangladesh
Kharif 1,April,May to Aug,Oct to Dec,Cotton 1,Fibre,35,20,43,76,Bangladesh
Kharif 1,April,May to Dec,Dec to March,Turmeric,Vegetables,30,20,45,80,Bangladesh
Kharif 1,June,July to Nov,Nov to April,Beans,Vegetables,22,10,60,75,Bangladesh
Kharif 1,April,May to June,June to Sep,Ladys Finger,Vegetables,30,10,75,85,Bangladesh
Kharif 1,April,May to July,July to Sep,Kakrol,Vegetables,30,20,60,85,Bangladesh
Kharif 1,April,May to June,June to Aug,Jhinga(Ribbed Gourd),Vegetables,28,18,70,90,Bangladesh
Kharif 1,March,April to July,July to Oct,Chal Kumra(White Gourd),Vegetables,27,18,65,85,Bangladesh
Kharif 1,April,May to Sep,Sep to Feb,Mukhi Kachu(Taro),Vegetables,15,8,65,90,Bangladesh
Kharif 1,April,No need to do,April to June,Litchi 1,Fruits,28,6,70,85,Bangladesh
Kharif 1,April,No need to do,April to June,Mango 1,Fruits,36,27,50,90,Bangladesh
Kharif 1,April,No need to do,April to June,Jackfruit 1,Fruits,47,22,70,95,Bangladesh
Kharif 1,April,No need to do,Jan to March,Safeda(Sapota) 1,Fruits,38,10,60,80,Bangladesh
Kharif 1,April,No need to do,May to July,Safeda(Sapota) 2,Fruits,38,10,60,80,Bangladesh
Kharif 1,April,No need to do,May to June,Pomelo 1,Fruits,30,25,70,90,Bangladesh
Kharif 1,April,No need to do,Throuout The year,Guava,Fruits,35,23,50,85,Bangladesh
Kharif 1,April,No need to do,Feb to March,Date Palm,Fruits,35,6,60,85,Bangladesh
Kharif 1,April,No need to do,Throuout The year,Dalim(Pomegranate) 1,Fruits,38,5,70,95,Bangladesh
Kharif 1,April,No need to do,Feb to March,Ber 1,Fruits,33,18,60,85,Bangladesh
Rabi,Nov,Dec to March,April,Boro(HYV: Transplant),Cereals,40,12,60,85,Bangladesh
Rabi,Dec,Jan  to  March,April,Wheat,Cereals,20,15.5,50,60,Bangladesh
Rabi,Dec,Jan  to  March,April,Maize 1,Cereals,27,14,50,70,Bangladesh
Rabi,Sep,Oct to Feb,March,Mungbean 1,Pulses,30,20,20,85,Bangladesh
Rabi,Dec,Jan to  April,May,Soybean 1,Oil Seeds,25,15,30,70,Bangladesh
Rabi,Oct,Nov to March,March to April,Groundnut 1,Oil Seeds,35,20,80,90,Bangladesh
Rabi,Nov,Dec to Jan,Feb,Sesame 1,Oil Seeds,35,27,40,50,Bangladesh
Rabi,Feb,March to July,Aug to Sep,Bitter Gourd,Vegetables,27,24,85,90,Bangladesh
Rabi,Feb,March to Aug,Aug to Sep,Snake Gourd,Vegetables,38,25,85,90,Bangladesh
