ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
BGD,780458,Neonatal mortality rate (5 year periods),52,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMT_C_NNR,63166010,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCNNR,,1993-94,DHS,,,45,59,
BGD,779975,Postneonatal mortality (5 year periods),35,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMT_C_PNR,63166020,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCPNR,,1993-94,DHS,,,30,40,
BGD,768547,Infant mortality rate (5 year periods),88,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMT_C_IMR,63166030,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCIMR,,1993-94,DHS,,,79,96,
BGD,747311,Child mortality (5 year periods),50,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMT_C_CMR,63166040,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCCMR,,1993-94,DHS,,,43,57,
BGD,793854,Under-five mortality rate (5 year periods),134,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMT_C_U5M,63166050,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCU5M,,1993-94,DHS,,,122,145,
BGD,748342,Neonatal mortality rate,52,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,1993-94,DHS,,,45,59,
BGD,106377,Neonatal mortality rate,63,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,,1993-94,DHS,,,59,68,
BGD,106349,Postneonatal mortality rate,35,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCPNR,,1993-94,DHS,,,30,40,
BGD,768578,Postneonatal mortality rate,37,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCPNR,,1993-94,DHS,,,33,41,
BGD,759817,Infant mortality rate,88,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,1993-94,DHS,,,79,96,
BGD,106437,Infant mortality rate,101,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,1993-94,DHS,,,94,107,
BGD,785584,Child mortality rate,50,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCCMR,,1993-94,DHS,,,43,57,
BGD,797819,Child mortality rate,55,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCCMR,,1993-94,DHS,,,49,60,
BGD,802665,Under-five mortality rate,134,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1993-94,DHS,,,122,145,
BGD,762207,Under-five mortality rate,150,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1993-94,DHS,,,141,158,
BGD,770345,Stillbirths,207,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_NSB,63236010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,CMPNMRCNSB,,1993-94,DHS,,,,,
BGD,770346,Early neonatal deaths,233,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_NEN,63236020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,CMPNMRCNEN,,1993-94,DHS,,,,,
BGD,769986,Perinatal mortality rate (5 years),60,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_PMR,63236030,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,CMPNMRCPMR,,1993-94,DHS,7339,7233,,,
BGD,769950,Number of pregnancies of 7+ months duration,7339,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_NUM,63236040,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,CMPNMRCNUM,,1993-94,DHS,,7233,,,
BGD,770326,Number of pregnancies of 7+ months duration (unweighted),7233,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_UNW,63236050,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,CMPNMRCUNW,,1993-94,DHS,7339,,,,
BGD,780329,Neonatal mortality rate (5 year periods),48,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMT_C_NNR,63166010,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCNNR,,1996-97,DHS,,,43,54,
BGD,793942,Postneonatal mortality (5 year periods),34,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMT_C_PNR,63166020,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCPNR,,1996-97,DHS,,,29,39,
BGD,794227,Infant mortality rate (5 year periods),82,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMT_C_IMR,63166030,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCIMR,,1996-97,DHS,,,75,90,
BGD,797474,Child mortality (5 year periods),37,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMT_C_CMR,63166040,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCCMR,,1996-97,DHS,,,31,42,
BGD,747484,Under-five mortality rate (5 year periods),116,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMT_C_U5M,63166050,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCU5M,,1996-97,DHS,,,107,125,
BGD,774955,Neonatal mortality rate,48,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,1996-97,DHS,,,43,54,
BGD,107089,Neonatal mortality rate,55,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,,1996-97,DHS,,,50,59,
BGD,107043,Postneonatal mortality rate,34,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCPNR,,1996-97,DHS,,,29,39,
BGD,774956,Postneonatal mortality rate,35,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCPNR,,1996-97,DHS,,,31,39,
