date,temperature,humidity,rainfall,sunshine_hours
2022-01-01,20.0,71.0,0.0,5.8
2022-01-02,18.3,83.0,0.0,4.7
2022-01-03,19.1,74.0,0.0,4.2
2022-01-04,18.9,76.0,0.0,4.4
2022-01-05,18.0,83.0,0.0,3.9
2022-01-06,19.2,76.0,0.0,4.4
2022-01-07,21.1,71.0,0.0,4.9
2022-01-08,21.9,65.0,0.0,5.8
2022-01-09,22.2,67.0,0.0,5.0
2022-01-10,22.3,66.0,0.0,3.9
2022-01-11,22.3,67.0,0.0,3.9
2022-01-12,21.2,77.0,1.0,0.5
2022-01-13,21.3,73.0,0.0,4.4
2022-01-14,19.6,72.0,0.0,0.0
2022-01-15,19.5,74.0,0.0,1.2
2022-01-16,19.0,65.0,0.0,6.2
2022-01-17,20.0,66.0,0.0,6.4
2022-01-18,19.5,73.0,0.0,3.2
2022-01-19,18.7,77.0,0.0,4.6
2022-01-20,18.1,75.0,0.0,4.7
2022-01-21,18.8,72.0,0.0,3.1
2022-01-22,19.7,73.0,0.0,0.0
2022-01-23,19.8,73.0,0.0,0.0
2022-01-24,19.8,81.0,7.0,1.9
2022-01-25,21.1,79.0,0.0,2.5
2022-01-26,20.5,81.0,0.0,2.3
2022-01-27,19.0,58.0,4.0,5.1
2022-01-28,17.3,56.0,0.0,5.7
2022-01-29,16.8,65.0,0.0,5.6
2022-01-30,16.8,71.0,0.0,6.6
2022-01-31,18.1,68.0,0.0,3.3
2022-02-01,20.1,72.0,0.0,5.2
2022-02-02,21.2,63.0,0.0,7.1
2022-02-03,22.0,77.0,0.0,1.9
2022-02-04,18.6,87.0,0.0,0.6
2022-02-05,18.4,73.0,16.0,7.2
2022-02-06,17.4,72.0,0.0,7.2
2022-02-07,17.7,71.0,0.0,7.9
2022-02-08,18.6,68.0,0.0,7.0
2022-02-09,20.3,67.0,0.0,6.2
2022-02-10,18.6,80.0,0.0,0.0
2022-02-11,20.3,72.0,0.0,2.4
2022-02-12,19.9,52.0,0.0,8.5
2022-02-13,20.8,54.0,0.0,8.2
2022-02-14,21.3,53.0,0.0,9.0
2022-02-15,21.4,52.0,0.0,8.5
2022-02-16,21.9,46.0,0.0,8.3
2022-02-17,21.6,54.0,0.0,8.1
2022-02-18,21.9,45.0,0.0,7.6
2022-02-19,21.2,47.0,0.0,8.7
2022-02-20,20.8,63.0,0.0,4.2
2022-02-21,21.4,59.0,4.0,6.4
2022-02-22,22.5,60.0,0.0,7.0
2022-02-23,22.6,68.0,0.0,5.0
2022-02-24,24.7,57.0,0.0,6.0
2022-02-25,24.7,57.0,0.0,7.8
2022-02-26,25.0,61.0,0.0,7.2
2022-02-27,24.7,62.0,0.0,3.6
2022-02-28,25.4,64.0,0.0,6.3
2022-03-01,25.3,50.0,0.0,8.1
2022-03-02,25.4,48.0,0.0,8.8
2022-03-03,25.0,50.0,0.0,8.3
2022-03-04,24.8,50.0,0.0,8.3
2022-03-05,25.9,48.0,0.0,7.7
2022-03-06,26.5,45.0,0.0,8.2
2022-03-07,27.5,50.0,0.0,8.9
2022-03-08,28.1,55.0,0.0,9.0
2022-03-09,28.2,48.0,0.0,8.6
2022-03-10,27.7,45.0,0.0,9.1
2022-03-11,27.4,44.0,0.0,9.2
2022-03-12,27.9,44.0,0.0,8.6
2022-03-13,28.0,44.0,0.0,9.2
2022-03-14,28.9,53.0,0.0,8.8
2022-03-15,28.8,49.0,0.0,8.1
2022-03-16,29.8,46.0,0.0,8.6
2022-03-17,29.3,48.0,0.0,8.5
2022-03-18,29.4,49.0,0.0,8.7
2022-03-19,29.7,43.0,0.0,8.8
2022-03-20,29.5,48.0,0.0,8.7
2022-03-21,28.8,60.0,0.0,7.6
2022-03-22,29.0,66.0,0.0,6.9
2022-03-23,30.7,59.0,0.0,8.4
2022-03-24,28.9,70.0,0.0,7.5
2022-03-25,28.9,73.0,0.0,3.3
2022-03-26,29.2,74.0,0.0,3.1
2022-03-27,28.5,77.0,0.0,4.6
2022-03-28,28.5,72.0,9.0,7.0
2022-03-29,27.9,76.0,0.0,3.6
2022-03-30,28.7,75.0,5.0,7.1
2022-03-31,29.4,71.0,0.0,7.0
2022-04-01,29.9,72.0,0.0,6.6
2022-04-02,29.5,73.0,0.0,2.9
2022-04-03,29.3,72.0,0.0,5.5
2022-04-04,29.4,70.0,0.0,7.8
2022-04-05,29.7,68.0,0.0,8.7
2022-04-06,29.8,69.0,0.0,8.6
2022-04-07,30.2,67.0,0.0,8.8
2022-04-08,29.9,66.0,0.0,8.4
2022-04-09,29.8,70.0,0.0,5.4
2022-04-10,30.1,69.0,0.0,2.7
2022-04-11,30.1,73.0,0.0,4.8
2022-04-12,29.5,75.0,0.0,1.6
2022-04-13,30.3,70.0,0.0,5.4
2022-04-14,30.1,75.0,0.0,5.3
2022-04-15,30.7,73.0,0.0,7.2
2022-04-16,30.4,73.0,0.0,2.6
2022-04-17,30.0,74.0,0.0,5.2
2022-04-18,30.7,71.0,0.0,6.7
2022-04-19,30.5,67.0,0.0,7.1
2022-04-20,22.7,83.0,0.0,0.0
2022-04-21,27.6,77.0,60.0,3.4
2022-04-22,27.0,82.0,0.0,5.8
2022-04-23,29.2,79.0,41.0,6.9
2022-04-24,30.9,77.0,0.0,8.7
2022-04-25,31.1,75.0,0.0,8.4
2022-04-26,31.2,73.0,0.0,7.6
2022-04-27,30.9,73.0,0.0,8.4
2022-04-28,29.8,60.0,0.0,4.7
2022-04-29,28.2,74.0,1.0,7.0
2022-04-30,29.8,60.0,4.0,6.6
2022-05-01,30.5,65.0,1.0,7.8
2022-05-02,28.7,67.0,6.0,5.3
2022-05-03,26.2,82.0,1.0,2.1
2022-05-04,27.0,83.0,14.0,4.1
2022-05-05,28.7,76.0,1.0,5.8
2022-05-06,28.2,74.0,0.0,5.6
2022-05-07,29.2,76.0,4.0,6.6
2022-05-08,30.5,69.0,0.0,5.9
2022-05-09,27.8,80.0,25.0,0.0
2022-05-10,26.4,92.0,1.0,0.5
2022-05-11,27.4,89.0,37.0,0.8
2022-05-12,28.8,81.0,0.0,3.4
2022-05-13,28.7,82.0,0.0,2.0
2022-05-14,30.7,73.0,1.0,2.2
2022-05-15,31.0,72.0,0.0,6.4
2022-05-16,31.2,73.0,0.0,7.0
2022-05-17,31.2,74.0,0.0,4.7
2022-05-18,31.8,71.0,0.0,7.9
2022-05-19,29.8,74.0,0.0,7.1
2022-05-20,29.4,73.0,0.0,3.9
2022-05-21,26.4,77.0,42.0,3.3
2022-05-22,30.1,69.0,14.0,4.1
2022-05-23,30.8,70.0,0.0,8.7
2022-05-24,30.4,67.0,0.0,7.8
2022-05-25,27.3,81.0,0.0,1.0
2022-05-26,29.3,74.0,39.0,7.7
2022-05-27,29.3,62.0,0.0,5.9
2022-05-28,29.3,75.0,0.0,1.7
2022-05-29,28.8,72.0,0.0,1.6
2022-05-30,27.9,87.0,0.0,0.0
2022-05-31,29.3,77.0,31.0,2.4
2022-06-01,29.3,81.0,0.0,2.1
2022-06-02,29.7,79.0,19.0,2.6
2022-06-03,29.4,82.0,2.0,1.0
2022-06-04,28.6,82.0,12.0,1.3
2022-06-05,31.3,76.0,0.0,5.7
2022-06-06,31.0,70.0,0.0,4.6
2022-06-07,30.5,76.0,0.0,1.0
