ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
BGD,228838,Children with diarrhea,12.3,1,BD,Bangladesh,1994,BD1994DHS,CH_DIAR_C_DIA,94066010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIARCDIA,,1993-94,DHS,3593,3545,,,
BGD,228836,Children with diarrhea with blood in the stools,2.7,1,BD,Bangladesh,1994,BD1994DHS,CH_DIAR_C_DIB,94066020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIARCDIB,,1993-94,DHS,3593,3545,,,
BGD,157693,Number of children born in the last five (or three) years,3593,0,BD,Bangladesh,1994,BD1994DHS,CH_DIAR_C_NUM,94066030,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIARCNUM,,1993-94,DHS,,3545,,,
BGD,228837,Number of children born in the last five (or three) years (unweighted),3545,0,BD,Bangladesh,1994,BD1994DHS,CH_DIAR_C_UNW,94066040,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIARCUNW,,1993-94,DHS,3593,,,,
BGD,460949,Treatment of diarrhea: Advice or treatment was sought,36,1,BD,Bangladesh,1994,BD1994DHS,CH_DIAT_C_ADV,94096010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCADV,,1993-94,DHS,442,442,,,
BGD,460951,Treatment of diarrhea: Oral rehydration solution (ORS),50.5,1,BD,Bangladesh,1994,BD1994DHS,CH_DIAT_C_ORS,94096020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCORS,,1993-94,DHS,442,442,,,
BGD,460952,Treatment of diarrhea: Recommended home fluids (RHF) at home,15.4,1,BD,Bangladesh,1994,BD1994DHS,CH_DIAT_C_RHF,94096030,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCRHF,,1993-94,DHS,442,442,,,
BGD,460953,Treatment of diarrhea: Either ORS or RHF,58.4,1,BD,Bangladesh,1994,BD1994DHS,CH_DIAT_C_ORT,94096040,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCORT,,1993-94,DHS,442,442,,,
BGD,460955,Treatment of diarrhea: Increased fluids,51,1,BD,Bangladesh,1994,BD1994DHS,CH_DIAT_C_INC,94096050,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCINC,,1993-94,DHS,442,442,,,
BGD,460956,Treatment of diarrhea: ORT or increased fluids,71.8,1,BD,Bangladesh,1994,BD1994DHS,CH_DIAT_C_ORI,94096060,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCORI,,1993-94,DHS,442,442,,,
BGD,460946,"Treatment of diarrhea: No ORS, RHF or increased fluids",28.2,1,BD,Bangladesh,1994,BD1994DHS,CH_DIAT_C_NON,94096070,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCNON,,1993-94,DHS,442,442,,,
BGD,460945,Treatment of diarrhea: Intravenous solution,0.3,1,BD,Bangladesh,1994,BD1994DHS,CH_DIAT_C_IVS,94096110,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCIVS,,1993-94,DHS,442,442,,,
BGD,460947,Treatment of diarrhea: Home remedy - other,49.2,1,BD,Bangladesh,1994,BD1994DHS,CH_DIAT_C_HOM,94096130,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCHOM,,1993-94,DHS,442,442,,,
BGD,460948,Treatment of diarrhea: No treatment,15.5,1,BD,Bangladesh,1994,BD1994DHS,CH_DIAT_C_NOT,94096140,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCNOT,,1993-94,DHS,442,442,,,
BGD,460950,Treatment of diarrhea: don't know or missing,0.2,1,BD,Bangladesh,1994,BD1994DHS,CH_DIAT_C_DKM,94096150,S,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCDKM,,1993-94,DHS,442,442,,,
BGD,467702,Number of children born in the last five (or three) years,442,0,BD,Bangladesh,1994,BD1994DHS,CH_DIAT_C_NUM,94096160,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCNUM,,1993-94,DHS,,442,,,
BGD,286842,Number of children born in the last five (or three) years (unweighted),442,0,BD,Bangladesh,1994,BD1994DHS,CH_DIAT_C_UNW,94096170,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCUNW,,1993-94,DHS,442,,,,
BGD,12966,Feeding practices during diarrhea: Increased amount of fluids,51,1,BD,Bangladesh,1994,BD1994DHS,CH_DIFP_C_LMR,94136010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCLMR,,1993-94,DHS,442,442,,,
BGD,12978,Feeding practices during diarrhea: Same amount of fluids,32.1,1,BD,Bangladesh,1994,BD1994DHS,CH_DIFP_C_LSM,94136020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCLSM,,1993-94,DHS,442,442,,,
BGD,12979,Feeding practices during diarrhea: Decreased amount of fluids,15.6,1,BD,Bangladesh,1994,BD1994DHS,CH_DIFP_C_LDC,94136050,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCLDC,,1993-94,DHS,442,442,,,
BGD,12965,Feeding practices during diarrhea: don't know or missing on fluids given,1.3,1,BD,Bangladesh,1994,BD1994DHS,CH_DIFP_C_LDK,94136070,S,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCLDK,,1993-94,DHS,442,442,,,
BGD,12967,Feeding practices during diarrhea: Total,100,1,BD,Bangladesh,1994,BD1994DHS,CH_DIFP_C_LTO,94136080,T,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCLTO,,1993-94,DHS,442,442,,,
BGD,12980,Number of children born in the last five (or three) years who had diarrhea in the last two weeks,442,0,BD,Bangladesh,1994,BD1994DHS,CH_DIFP_C_NUM,94136200,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCNUM,,1993-94,DHS,,442,,,
BGD,12968,Number of children born in the last five (or three) years who had diarrhea in the last two weeks (unweighted),442,0,BD,Bangladesh,1994,BD1994DHS,CH_DIFP_C_UNW,94136210,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCUNW,,1993-94,DHS,442,,,,
BGD,100203,Knowledge of ORS,6.1,1,BD,Bangladesh,1994,BD1994DHS,CH_KORS_W_ORS,94163010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHKORSWORS,,1993-94,DHS,3627,3569,,,
BGD,100205,Number of women with a live birth in the last five years,3627,0,BD,Bangladesh,1994,BD1994DHS,CH_KORS_W_NUM,94163020,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHKORSWNUM,,1993-94,DHS,,3569,,,
BGD,100210,Number of women with a live birth in the last five years (unweighted),3569,0,BD,Bangladesh,1994,BD1994DHS,CH_KORS_W_UNW,94163030,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHKORSWUNW,,1993-94,DHS,,,,,
BGD,375035,Children with diarrhea,9.3,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAR_C_DIA,94066010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIARCDIA,,1996-97,DHS,3367,3332,,,
BGD,540318,Children with diarrhea,7.6,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAR_C_DIA,94066010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIARCDIA,,1996-97,DHS,5635,5579,,,
BGD,375036,Children with diarrhea with blood in the stools,1.5,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAR_C_DIB,94066020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIARCDIB,,1996-97,DHS,3367,3332,,,
BGD,540316,Children with diarrhea with blood in the stools,1.4,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAR_C_DIB,94066020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIARCDIB,,1996-97,DHS,5635,5579,,,
BGD,375037,Number of children born in the last five (or three) years,3367,0,BD,Bangladesh,1997,BD1997DHS,CH_DIAR_C_NUM,94066030,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIARCNUM,,1996-97,DHS,,3332,,,
BGD,540317,Number of children born in the last five (or three) years,5635,0,BD,Bangladesh,1997,BD1997DHS,CH_DIAR_C_NUM,94066030,D,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIARCNUM,,1996-97,DHS,,5579,,,
BGD,157865,Number of children born in the last five (or three) years (unweighted),3332,0,BD,Bangladesh,1997,BD1997DHS,CH_DIAR_C_UNW,94066040,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIARCUNW,,1996-97,DHS,3367,,,,
BGD,157901,Number of children born in the last five (or three) years (unweighted),5579,0,BD,Bangladesh,1997,BD1997DHS,CH_DIAR_C_UNW,94066040,U,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIARCUNW,,1996-97,DHS,5635,,,,
BGD,157930,Treatment of diarrhea: Advice or treatment was sought,40.9,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_ADV,94096010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCADV,,1996-97,DHS,312,293,,,
BGD,488072,Treatment of diarrhea: Advice or treatment was sought,37.8,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_ADV,94096010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCADV,,1996-97,DHS,427,406,,,
BGD,157921,Treatment of diarrhea: Oral rehydration solution (ORS),48.3,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_ORS,94096020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCORS,,1996-97,DHS,312,293,,,
BGD,488070,Treatment of diarrhea: Oral rehydration solution (ORS),47.9,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_ORS,94096020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCORS,,1996-97,DHS,427,406,,,
BGD,157943,Treatment of diarrhea: Recommended home fluids (RHF) at home,30.2,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_RHF,94096030,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCRHF,,1996-97,DHS,312,293,,,
BGD,488071,Treatment of diarrhea: Recommended home fluids (RHF) at home,28.3,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_RHF,94096030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCRHF,,1996-97,DHS,427,406,,,
BGD,157949,Treatment of diarrhea: Either ORS or RHF,62.2,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_ORT,94096040,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCORT,,1996-97,DHS,312,293,,,
BGD,488076,Treatment of diarrhea: Either ORS or RHF,60.9,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_ORT,94096040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCORT,,1996-97,DHS,427,406,,,
BGD,157950,Treatment of diarrhea: Increased fluids,54.6,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_INC,94096050,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCINC,,1996-97,DHS,312,293,,,
BGD,488077,Treatment of diarrhea: Increased fluids,55.8,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_INC,94096050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCINC,,1996-97,DHS,427,406,,,
BGD,157951,Treatment of diarrhea: ORT or increased fluids,74.5,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_ORI,94096060,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCORI,,1996-97,DHS,312,293,,,
BGD,488078,Treatment of diarrhea: ORT or increased fluids,74.6,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_ORI,94096060,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCORI,,1996-97,DHS,427,406,,,
BGD,157923,"Treatment of diarrhea: No ORS, RHF or increased fluids",25.5,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_NON,94096070,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCNON,,1996-97,DHS,312,293,,,
BGD,488046,"Treatment of diarrhea: No ORS, RHF or increased fluids",25.4,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_NON,94096070,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCNON,,1996-97,DHS,427,406,,,
BGD,157940,Treatment of diarrhea: Intravenous solution,0.3,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_IVS,94096110,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCIVS,,1996-97,DHS,312,293,,,
BGD,488073,Treatment of diarrhea: Intravenous solution,0.5,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_IVS,94096110,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCIVS,,1996-97,DHS,427,406,,,
BGD,157941,Treatment of diarrhea: Home remedy - other,77.2,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_HOM,94096130,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCHOM,,1996-97,DHS,312,293,,,
BGD,488074,Treatment of diarrhea: Home remedy - other,76.3,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_HOM,94096130,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCHOM,,1996-97,DHS,427,406,,,
BGD,157942,Treatment of diarrhea: No treatment,8.9,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_NOT,94096140,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCNOT,,1996-97,DHS,312,293,,,
BGD,488075,Treatment of diarrhea: No treatment,8,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_NOT,94096140,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCNOT,,1996-97,DHS,427,406,,,
BGD,157931,Treatment of diarrhea: don't know or missing,0.4,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_DKM,94096150,S,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCDKM,,1996-97,DHS,312,293,,,
BGD,488047,Treatment of diarrhea: don't know or missing,1,1,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_DKM,94096150,S,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCDKM,,1996-97,DHS,427,406,,,
BGD,157933,Number of children born in the last five (or three) years,312,0,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_NUM,94096160,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCNUM,,1996-97,DHS,,293,,,
BGD,494104,Number of children born in the last five (or three) years,427,0,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_NUM,94096160,D,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCNUM,,1996-97,DHS,,406,,,
BGD,158174,Number of children born in the last five (or three) years (unweighted),293,0,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_UNW,94096170,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCUNW,,1996-97,DHS,312,,,,
BGD,294439,Number of children born in the last five (or three) years (unweighted),406,0,BD,Bangladesh,1997,BD1997DHS,CH_DIAT_C_UNW,94096170,U,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCUNW,,1996-97,DHS,427,,,,
BGD,459242,Feeding practices during diarrhea: Increased amount of fluids,54.6,1,BD,Bangladesh,1997,BD1997DHS,CH_DIFP_C_LMR,94136010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCLMR,,1996-97,DHS,312,293,,,
BGD,332800,Feeding practices during diarrhea: Increased amount of fluids,55.8,1,BD,Bangladesh,1997,BD1997DHS,CH_DIFP_C_LMR,94136010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCLMR,,1996-97,DHS,427,406,,,
BGD,459245,Feeding practices during diarrhea: Same amount of fluids,29.8,1,BD,Bangladesh,1997,BD1997DHS,CH_DIFP_C_LSM,94136020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCLSM,,1996-97,DHS,312,293,,,
BGD,332802,Feeding practices during diarrhea: Same amount of fluids,30.3,1,BD,Bangladesh,1997,BD1997DHS,CH_DIFP_C_LSM,94136020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCLSM,,1996-97,DHS,427,406,,,
BGD,459246,Feeding practices during diarrhea: Decreased amount of fluids,12.4,1,BD,Bangladesh,1997,BD1997DHS,CH_DIFP_C_LDC,94136050,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCLDC,,1996-97,DHS,312,293,,,
BGD,332803,Feeding practices during diarrhea: Decreased amount of fluids,11.2,1,BD,Bangladesh,1997,BD1997DHS,CH_DIFP_C_LDC,94136050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCLDC,,1996-97,DHS,427,406,,,
BGD,459244,Feeding practices during diarrhea: don't know or missing on fluids given,3.2,1,BD,Bangladesh,1997,BD1997DHS,CH_DIFP_C_LDK,94136070,S,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCLDK,,1996-97,DHS,312,293,,,
BGD,332805,Feeding practices during diarrhea: don't know or missing on fluids given,2.8,1,BD,Bangladesh,1997,BD1997DHS,CH_DIFP_C_LDK,94136070,S,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCLDK,,1996-97,DHS,427,406,,,
BGD,459243,Feeding practices during diarrhea: Total,100,1,BD,Bangladesh,1997,BD1997DHS,CH_DIFP_C_LTO,94136080,T,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCLTO,,1996-97,DHS,312,293,,,
BGD,332801,Feeding practices during diarrhea: Total,100,1,BD,Bangladesh,1997,BD1997DHS,CH_DIFP_C_LTO,94136080,T,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCLTO,,1996-97,DHS,427,406,,,
BGD,467151,Number of children born in the last five (or three) years who had diarrhea in the last two weeks,312,0,BD,Bangladesh,1997,BD1997DHS,CH_DIFP_C_NUM,94136200,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCNUM,,1996-97,DHS,,293,,,
BGD,12498,Number of children born in the last five (or three) years who had diarrhea in the last two weeks,427,0,BD,Bangladesh,1997,BD1997DHS,CH_DIFP_C_NUM,94136200,D,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCNUM,,1996-97,DHS,,406,,,
BGD,286220,Number of children born in the last five (or three) years who had diarrhea in the last two weeks (unweighted),293,0,BD,Bangladesh,1997,BD1997DHS,CH_DIFP_C_UNW,94136210,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCUNW,,1996-97,DHS,312,,,,
BGD,332804,Number of children born in the last five (or three) years who had diarrhea in the last two weeks (unweighted),406,0,BD,Bangladesh,1997,BD1997DHS,CH_DIFP_C_UNW,94136210,U,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCUNW,,1996-97,DHS,427,,,,
BGD,526138,Children with diarrhea,8.1,1,BD,Bangladesh,2000,BD2000DHS,CH_DIAR_C_DIA,94066010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIARCDIA,,1999-00,DHS,3909,3854,,,
BGD,724689,Children with diarrhea,6.1,1,BD,Bangladesh,2000,BD2000DHS,CH_DIAR_C_DIA,94066010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIARCDIA,,1999-00,DHS,6411,6309,,,
BGD,526133,Number of children born in the last five (or three) years,3909,0,BD,Bangladesh,2000,BD2000DHS,CH_DIAR_C_NUM,94066030,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIARCNUM,,1999-00,DHS,,3854,,,
BGD,726935,Number of children born in the last five (or three) years,6411,0,BD,Bangladesh,2000,BD2000DHS,CH_DIAR_C_NUM,94066030,D,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIARCNUM,,1999-00,DHS,,6309,,,
BGD,156945,Number of children born in the last five (or three) years (unweighted),3854,0,BD,Bangladesh,2000,BD2000DHS,CH_DIAR_C_UNW,94066040,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIARCUNW,,1999-00,DHS,3909,,,,
BGD,7461,Number of children born in the last five (or three) years (unweighted),6309,0,BD,Bangladesh,2000,BD2000DHS,CH_DIAR_C_UNW,94066040,U,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIARCUNW,,1999-00,DHS,6411,,,,
BGD,659560,Treatment of diarrhea: Advice or treatment was sought,43.8,1,BD,Bangladesh,2000,BD2000DHS,CH_DIAT_C_ADV,94096010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCADV,,1999-00,DHS,318,313,,,
BGD,471651,Treatment of diarrhea: Advice or treatment was sought,41.3,1,BD,Bangladesh,2000,BD2000DHS,CH_DIAT_C_ADV,94096010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCADV,,1999-00,DHS,393,393,,,
BGD,659553,Treatment of diarrhea: Oral rehydration solution (ORS),61,1,BD,Bangladesh,2000,BD2000DHS,CH_DIAT_C_ORS,94096020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCORS,,1999-00,DHS,318,313,,,
BGD,471639,Treatment of diarrhea: Oral rehydration solution (ORS),61.3,1,BD,Bangladesh,2000,BD2000DHS,CH_DIAT_C_ORS,94096020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCORS,,1999-00,DHS,393,393,,,
BGD,659554,Treatment of diarrhea: Recommended home fluids (RHF) at home,22.6,1,BD,Bangladesh,2000,BD2000DHS,CH_DIAT_C_RHF,94096030,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCRHF,,1999-00,DHS,318,313,,,
BGD,471640,Treatment of diarrhea: Recommended home fluids (RHF) at home,24.8,1,BD,Bangladesh,2000,BD2000DHS,CH_DIAT_C_RHF,94096030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCRHF,,1999-00,DHS,393,393,,,
BGD,659555,Treatment of diarrhea: Either ORS or RHF,72.4,1,BD,Bangladesh,2000,BD2000DHS,CH_DIAT_C_ORT,94096040,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCORT,,1999-00,DHS,318,313,,,
BGD,471642,Treatment of diarrhea: Either ORS or RHF,73.5,1,BD,Bangladesh,2000,BD2000DHS,CH_DIAT_C_ORT,94096040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCORT,,1999-00,DHS,393,393,,,
BGD,659556,Treatment of diarrhea: Increased fluids,49.7,1,BD,Bangladesh,2000,BD2000DHS,CH_DIAT_C_INC,94096050,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCINC,,1999-00,DHS,318,313,,,
BGD,471649,Treatment of diarrhea: Increased fluids,49.8,1,BD,Bangladesh,2000,BD2000DHS,CH_DIAT_C_INC,94096050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCINC,,1999-00,DHS,393,393,,,
BGD,659557,Treatment of diarrhea: ORT or increased fluids,80.4,1,BD,Bangladesh,2000,BD2000DHS,CH_DIAT_C_ORI,94096060,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCORI,,1999-00,DHS,318,313,,,
