ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
BGD,748342,Neonatal mortality rate,52,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,1993-94,DHS,,,45,59,
BGD,106377,Neonatal mortality rate,63,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,,1993-94,DHS,,,59,68,
BGD,106349,Postneonatal mortality rate,35,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCPNR,,1993-94,DHS,,,30,40,
BGD,768578,Postneonatal mortality rate,37,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCPNR,,1993-94,DHS,,,33,41,
BGD,759817,Infant mortality rate,88,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,1993-94,DHS,,,79,96,
BGD,106437,Infant mortality rate,101,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,1993-94,DHS,,,94,107,
BGD,785584,Child mortality rate,50,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCCMR,,1993-94,DHS,,,43,57,
BGD,797819,Child mortality rate,55,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCCMR,,1993-94,DHS,,,49,60,
BGD,802665,Under-five mortality rate,134,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1993-94,DHS,,,122,145,
