Date,XSICFEUW
2025-09-19T00:00:00,2159
2025-09-18T00:00:00,2248
2025-09-17T00:00:00,2314
2025-09-16T00:00:00,2438
2025-09-15T00:00:00,2487
2025-09-12T00:00:00,2261
2025-09-11T00:00:00,2273
2025-09-10T00:00:00,2222
2025-09-09T00:00:00,2248
2025-09-08T00:00:00,2194
2025-09-05T00:00:00,2148
2025-09-04T00:00:00,2034
2025-09-03T00:00:00,1938
2025-09-02T00:00:00,1856
2025-09-01T00:00:00,1842
2025-08-29T00:00:00,1776
2025-08-28T00:00:00,1777
2025-08-27T00:00:00,1783
2025-08-26T00:00:00,1795
2025-08-25T00:00:00,1792
2025-08-22T00:00:00,1810
2025-08-21T00:00:00,1826
2025-08-20T00:00:00,1833
2025-08-19T00:00:00,1837
2025-08-18T00:00:00,1849
2025-08-15T00:00:00,1862
2025-08-14T00:00:00,1913
2025-08-13T00:00:00,1931
2025-08-12T00:00:00,1940
2025-08-11T00:00:00,1954
2025-08-08T00:00:00,1979
2025-08-07T00:00:00,2012
2025-08-06T00:00:00,2018
2025-08-05T00:00:00,2108
2025-08-04T00:00:00,2135
2025-08-01T00:00:00,2166
2025-07-31T00:00:00,2170
2025-07-30T00:00:00,2172
2025-07-29T00:00:00,2179
2025-07-28T00:00:00,2228
2025-07-25T00:00:00,2206
2025-07-24T00:00:00,2216
2025-07-23T00:00:00,2248
2025-07-22T00:00:00,2257
2025-07-21T00:00:00,2236
2025-07-18T00:00:00,2243
2025-07-17T00:00:00,2204
2025-07-16T00:00:00,2204
2025-07-15T00:00:00,2189
2025-07-14T00:00:00,2385
2025-07-11T00:00:00,2392
2025-07-10T00:00:00,2399
2025-07-09T00:00:00,2423
2025-07-08T00:00:00,2449
2025-07-07T00:00:00,2547
2025-07-04T00:00:00,2640
2025-07-03T00:00:00,2677
2025-07-02T00:00:00,2774
2025-07-01T00:00:00,2823
2025-06-30T00:00:00,3130
2025-06-27T00:00:00,3122
2025-06-26T00:00:00,3178
2025-06-25T00:00:00,3319
2025-06-24T00:00:00,3528
2025-06-23T00:00:00,3625
2025-06-20T00:00:00,4195
2025-06-19T00:00:00,4393
2025-06-18T00:00:00,4678
2025-06-17T00:00:00,5051
2025-06-16T00:00:00,5170
2025-06-13T00:00:00,5190
2025-06-12T00:00:00,5270
2025-06-11T00:00:00,5322
2025-06-10T00:00:00,5261
2025-06-06T00:00:00,5194
2025-06-05T00:00:00,5122
2025-06-04T00:00:00,4901
2025-06-03T00:00:00,4263
2025-06-02T00:00:00,3910
2025-05-30T00:00:00,3026
2025-05-28T00:00:00,2986
2025-05-27T00:00:00,2988
2025-05-26T00:00:00,2981
2025-05-23T00:00:00,2970
2025-05-22T00:00:00,2932
2025-05-21T00:00:00,2875
2025-05-20T00:00:00,2812
2025-05-19T00:00:00,2736
2025-05-16T00:00:00,2615
2025-05-15T00:00:00,2592
2025-05-14T00:00:00,2502
2025-05-13T00:00:00,2523
2025-05-12T00:00:00,2515
2025-05-09T00:00:00,2521
2025-05-08T00:00:00,2521
2025-05-07T00:00:00,2521
2025-05-06T00:00:00,2588
2025-05-05T00:00:00,2551
2025-05-02T00:00:00,2671
2025-04-30T00:00:00,2749
2025-04-29T00:00:00,2755
2025-04-28T00:00:00,2752
2025-04-25T00:00:00,2759
2025-04-24T00:00:00,2785
2025-04-23T00:00:00,2793
2025-04-22T00:00:00,2880
2025-04-16T00:00:00,2868
2025-04-15T00:00:00,2878
2025-04-14T00:00:00,2939
2025-04-11T00:00:00,2948
2025-04-10T00:00:00,2951
2025-04-09T00:00:00,2964
2025-04-08T00:00:00,2984
2025-04-07T00:00:00,2973
2025-04-04T00:00:00,2956
2025-04-03T00:00:00,2931
2025-04-02T00:00:00,2905
2025-04-01T00:00:00,2905
2025-03-31T00:00:00,2502
2025-03-28T00:00:00,2479
2025-03-27T00:00:00,2483
2025-03-26T00:00:00,2488
2025-03-25T00:00:00,2498
2025-03-24T00:00:00,2498
2025-03-21T00:00:00,2505
2025-03-20T00:00:00,2515
2025-03-19T00:00:00,2564
2025-03-18T00:00:00,2558
2025-03-17T00:00:00,2593
2025-03-14T00:00:00,2802
2025-03-13T00:00:00,2849
2025-03-12T00:00:00,2905
2025-03-11T00:00:00,2969
